src/app/components/Dashboard.tsx(6,3): error TS6133: 'TrendingUp' is declared but its value is never read.
src/app/components/Dashboard.tsx(7,3): error TS6133: 'TrendingDown' is declared but its value is never read.
src/app/components/Dashboard.tsx(14,27): error TS6133: 'BarChart' is declared but its value is never read.
src/app/components/Dashboard.tsx(14,37): error TS6133: 'Bar' is declared but its value is never read.
src/app/components/Dashboard.tsx(147,75): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ blue: string; orange: string; purple: string; green: string; }'.
  No index signature with a parameter of type 'string' was found on type '{ blue: string; orange: string; purple: string; green: string; }'.
src/app/components/Inventory.tsx(5,3): error TS6133: 'Filter' is declared but its value is never read.
src/app/components/LoginHistory.tsx(3,3): error TS6133: 'Filter' is declared but its value is never read.
src/app/components/LoginHistory.tsx(10,3): error TS6133: 'Calendar' is declared but its value is never read.
src/app/components/Sidebar.tsx(1,10): error TS2305: Module '"react-router"' has no exported member 'Link'.
src/app/components/ui/accordion.tsx(4,37): error TS2307: Cannot find module '@radix-ui/react-accordion' or its corresponding type declarations.
src/app/components/ui/alert-dialog.tsx(4,39): error TS2307: Cannot find module '@radix-ui/react-alert-dialog' or its corresponding type declarations.
src/app/components/ui/alert.tsx(2,40): error TS2307: Cannot find module 'class-variance-authority' or its corresponding type declarations.
src/app/components/ui/aspect-ratio.tsx(3,39): error TS2307: Cannot find module '@radix-ui/react-aspect-ratio' or its corresponding type declarations.
src/app/components/ui/avatar.tsx(4,34): error TS2307: Cannot find module '@radix-ui/react-avatar' or its corresponding type declarations.
src/app/components/ui/badge.tsx(2,22): error TS2307: Cannot find module '@radix-ui/react-slot' or its corresponding type declarations.
src/app/components/ui/badge.tsx(3,40): error TS2307: Cannot find module 'class-variance-authority' or its corresponding type declarations.
src/app/components/ui/breadcrumb.tsx(2,22): error TS2307: Cannot find module '@radix-ui/react-slot' or its corresponding type declarations.
src/app/components/ui/button.tsx(2,22): error TS2307: Cannot find module '@radix-ui/react-slot' or its corresponding type declarations.
src/app/components/ui/button.tsx(3,40): error TS2307: Cannot find module 'class-variance-authority' or its corresponding type declarations.
src/app/components/ui/calendar.tsx(5,27): error TS2307: Cannot find module 'react-day-picker' or its corresponding type declarations.
src/app/components/ui/calendar.tsx(63,22): error TS7031: Binding element 'className' implicitly has an 'any' type.
src/app/components/ui/calendar.tsx(66,23): error TS7031: Binding element 'className' implicitly has an 'any' type.
src/app/components/ui/carousel.tsx(6,8): error TS2307: Cannot find module 'embla-carousel-react' or its corresponding type declarations.
src/app/components/ui/checkbox.tsx(4,36): error TS2307: Cannot find module '@radix-ui/react-checkbox' or its corresponding type declarations.
src/app/components/ui/collapsible.tsx(3,39): error TS2307: Cannot find module '@radix-ui/react-collapsible' or its corresponding type declarations.
